Atalante	V	ATALENTER
sœur	Nc	sœur
Flaminie	Vvc	Flaminie
afin	S	AFIN
de	S	DE
la	Pp	IL
rendre	Vvn	RENDRE
confidente	Nc	CONFIDENT
d'	S	DE
une	Dn	UN
passion	Nc	PASSION
si	Rg	SI
forte	Ag	FORT
;	Fw	;
ce	Pd	CE
qu'	Pr	QUE
Izidore	Vvc	Izidore
sachant	Ga	SAVOIR
,	Fw	,
aidée	Ge	AIDER
de	S	DE
Philémon	Nc	Philémon
leur	Ds	LEUR
curateur	Nc	CURATEUR
,	Fw	,
elle	Pp	IL
prend	Vvc	PRENDRE
l'	Da	LE
habit	Nc	HABIT
d'	S	DE
un	Dn	UN
Clerc	Nc	CLERC
,	Fw	,
et	Cc	ET
va	Vvc	ALLER
se	Pp	IL
présenter	Vvn	PRÉSENTER
à	S	À
Polydas	Nc	Polydas
,	Fw	,
après	S	APRÈS
avoir	Vun	AVOIR
été	Ge	ÊTRE
assurée	Ge	ASSURER
qu'	Cs	QUE
il	Pp	IL
en	Pp	EN
cherchait	Vvc	CHERCHER
un	Pi	UN
.	Fs	.
Ma	Ds	MON
Sœur	Nc	Sœur
,	Fw	,
que	Cs	QUE
la	Da	LE
misère	Nc	MISÈRE
est	Vuc	ÊTRE
aujourd'hui	Rg	AUJOURD'HUI
commune	Ag	COMMUN
!	Fs	!
Qu'	Cs	QUE
on	Pp	ON
fait	Vvc	FAIRE
par	S	PAR
la	Da	LE
beauté	Nc	BEAUTÉ
rarement	Rg	RAREMENT
sa	Ds	SON
fortune	Nc	FORTUNE
!	Fs	!
Que	Cs	QUE
le	Da	LE
sort	Nc	SORT
est	Vuc	ÊTRE
ingrat	Ag	INGRAT
à	S	À
celles	Pd	CELUI
qui	Pr	QUI
n'	Rp	NE
ont	Vuc	AVOIR
rien	Pi	RIEN
!	Fs	!
Nous	Pp	NOUS
voyons	Vvc	VOIR
que	Cs	QUE
tout	Pi	TOUT
manque	Vvc	MANQUER
à	S	À
qui	Pr	QUI
manque	Vvc	MANQUER
de	S	DE
bien	Rg	BIEN
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
la	Da	LE
pauvreté	Nc	PAUVRETÉ
semble	Vvc	SEMBLER
être	Vun	ÊTRE
si	Rg	SI
funeste	Ag	FUNESTE
,	Fw	,
Que	Vvc	Que
le	Da	LE
monde	Nc	MONDE
la	Pp	IL
fuit	Vvc	FUIR
à	S	À
l'	Da	LE
égal	Nc	ÉGAL
de	S	DE
la	Da	LE
peste	Nc	PESTE
.	Fs	.
Dans	S	DANS
la	Da	LE
prospérité	Nc	PROSPÉRITÉ
,	Fw	,
mille	Nc	MILLE
petits	Ag	PETIT
plaisirs	Nc	PLAISIR
Succédaient	Vvc	Succédaient
tous	Di	TOUT
les	Da	LE
jours	Nc	JOUR|JOURS
à	S	À
nos	Ds	NOTRE
jeunes	Ag	JEUNE
désirs	Nc	DÉSIR
;	Fw	;
Les	Vvc	Les
uns	Pi	UN
nous	Pp	NOUS
conduisaient	Vvc	CONDUIRE
le	Da	LE
soir	Nc	SOIR
aux	S+Da	À+LES
promenades	Nc	PROMENADE
,	Fw	,
Les	Vvc	Les
autres	Pi	AUTRE
nous	Pp	NOUS
donnaient	Vvc	DONNER
le	Da	LE
soir	Nc	SOIR
des	S+Da	DE+LE|DE+LES
sérénades	Nc	SÉRÉNADE
,	Fw	,
Et	Vvc	Et
par	S	PAR
des	Dn	UN
instruments	Nc	INSTRUMENT
capables	Ag	CAPABLE
de	S	DE
charmer	Vvn	CHARMER
,	Fw	,
Tâchaient	Vvc	Tâchaient
de	S	DE
nous	Pp	NOUS
surprendre	Vvn	SURPRENDRE
,	Fw	,
et	Cc	ET
de	S	DE
se	Pp	IL
faire	Vvn	FAIRE
aimer	Vvn	AIMER
:	Fw	:
L'	Da	LE
honneur	Nc	HONNEUR
qu'	Pr	QUE
ils	Pp	ILS
en	Pp	EN
avaient	Vuc	AVOIR
leur	Pp	LEUR
servait	Vvc	SERVIR
de	S	DE
salaire	Nc	SALAIRE
,	Fw	,
Et	Vvc	Et
s'	Cs	SI
ils	Pp	ILS
jouaient	Vvc	JOUER
du	S+Da	DE+LE
luth	Nc	LUTH
,	Fw	,
de	S	DE
peur	Nc	PEUR
de	S	DE
nous	Pp	NOUS
déplaire	Vvn	DÉPLAIRE
,	Fw	,
Tous	Nc	TOUX
ces	Dd	CE
amants	Nc	AMANT
brûlés	Ge	BRÛLER
et	Cc	ET
transis	Vvc	TRANSIR
à	S	À
la	Da	LE
fois	Nc	FOI|FOIS
Tremblaient	Vvc	TREMBLER
le	Da	LE
plus	Rg	PLUS
souvent	Rg	SOUVENT
jusques	Nc	jusques
au	S+Da	À+LE
bout	Nc	BOUT
des	S+Da	DE+LE|DE+LES
doigts	Nc	DOIGT
.	Fs	.
Par	S	PAR
tout	Pi	TOUT
également	Rg	ÉGALEMENT
leur	Ds	LEUR
âme	Nc	ÂME
était	Vuc	ÊTRE
éprise	Ge	ÉPRENDRE
,	Fw	,
Ce	Vvc	Ce
n'	Rp	NE
était	Vuc	ÊTRE
que	Rg	QUE
pour	S	POUR
nous	Pp	NOUS
qu'	Cs	QUE
ils	Pp	ILS
allaient	Vvc	ALLER
à	S	À
l'	Da	LE
Église	Nc	Église
,	Fw	,
Ils	Vvc	Ils
nous	Pp	NOUS
donnaient	Vvc	DONNER
le	Da	LE
bal	Nc	BAL
,	Fw	,
s'	Pp	SE
exerçaient	Vvc	EXERCER
à	S	À
louer	Vvn	LOUER|LOVER
Tout	Vvc	Tout
ce	Pd	CE
dont	Pr	DONT
la	Da	LE
Nature	Nc	NATURE
avait	Vuc	AVOIR
pu	Ge	POUVOIR
nous	Pp	NOUS
douer	Vvn	DOUER
,	Fw	,
Nous	Vvc	Nous
faisaient	Vvc	FAIRE
en	S	EN
secret	Nc	SECRET
savoir	Vvn	SAVOIR
leur	Ds	LEUR
maladie	Nc	MALADIE
,	Fw	,
Nous	Vvc	Nous
menaient	Vvc	MENER
avec	S	AVEC
eux	Pp	EUX
pour	S	POUR
voir	Vvn	VOIR
la	Da	LE
Comédie	Nc	Comédie
,	Fw	,
Et	Vvc	Et
si	Cs	SI
leur	Ds	LEUR
feu	Nc	FEU
croissait	Vvc	CROÎTRE
,	Fw	,
pour	S	POUR
le	Da	LE
mieux	Rg	MIEUX
apaiser	Vvn	APAISER
,	Fw	,
Ils	Vvc	Ils
inventaient	Vvc	INVENTER
des	Dn	UN
jeux	Nc	JEU
afin	S	AFIN
de	S	DE
nous	Pp	NOUS
baiser	Vvn	BAISER
:	Fw	:
Bref	Rg	BREF
le	Da	LE
plus	Rg	PLUS
médisant	Ga	MÉDIRE
nous	Pp	NOUS
mettait	Vvc	METTRE
en	S	EN
estime	Nc	ESTIME
,	Fw	,
Et	Vvc	Et
ne	Rp	NE
nous	Pp	NOUS
pas	Rg	PAS
aimer	Vvn	AIMER
c'	Pd	CE
était	Vuc	ÊTRE
commettre	Vvn	COMMETTRE
un	Dn	UN
crime	Nc	CRIME
.	Fs	.
Maintenant	Rg	MAINTENANT
qu'	Cs	QUE
un	Dn	UN
procès	Nc	PROCÈS
a	Vuc	AVOIR
changé	Ge	CHANGER
notre	Ds	NOTRE
sort	Nc	SORT
,	Fw	,
Nous	Vvc	Nous
sommes	Vuc	ÊTRE
sans	S	SANS
amants	Nc	AMANT
,	Fw	,
nous	Pp	NOUS
sommes	Vuc	ÊTRE
sans	S	SANS
support	Nc	SUPPORT
,	Fw	,
Ceux	Nc	Ceux
qui	Pr	QUI
nous	Pp	NOUS
caressaient	Vvc	CARESSER
nous	Pp	NOUS
font	Vvc	FAIRE
mauvaise	Ag	MAUVAIS
mine	Nc	MINE
,	Fw	,
Et	Vvc	Et
leur	Ds	LEUR
esprit	Nc	ESPRIT
est	Vuc	ÊTRE
froid	Ag	FROID
comme	S	COMME
notre	Ds	NOTRE
cuisine	Nc	CUISINE
.	Fs	.
Les	Da	LE
juges	Nc	JUGE
ont	Vuc	AVOIR
trouvé	Ge	TROUVER
ce	Dd	CE
procès	Nc	PROCÈS
odieux	Ag	ODIEUX
,	Fw	,
Pour	Nc	POUR
ce	Pd	CE
que	Pr	QUE
trop	Rg	TROP
peu	Rg	PEU
d'	S	DE
or	Nc	OR
éclatait	Vvc	ÉCLATER
à	S	À
leurs	Ds	LEUR
yeux	Nc	OEIL|YEUX
.	Fs	.
«	Fw	«
Hélas	Vvc	Hélas
!	Fs	!
Notre	Ds	NOTRE
partie	Nc	PARTIE
en	Pp	EN
fit	Vvc	FAIRE
bien	Rg	BIEN
son	Ds	SON
affaire	Nc	AFFAIRE|AFFAIRÉ
,	Fw	,
Et	Vvc	Et
vit	Vvc	VIVRE|VOIR
bien	Rg	BIEN
que	Cs	QUE
l'	Da	LE
argent	Nc	ARGENT
y	Pp	Y
serait	Vuc	ÊTRE
nécessaire	Ag	NÉCESSAIRE
,	Fw	,
Que	Vvc	Que
c'	Pd	CE
est	Vuc	ÊTRE
par	S	PAR
ce	Dd	CE
moyen	Nc	MOYEN
qu'	Pr	QUE
on	Pp	ON
les	Pp	ILS
doit	Vvc	DEVOIR
étonner	Vvn	ÉTONNER
,	Fw	,
Et	Vvc	Et
qu'	Cs	QUE
on	Pp	ON
n'	Rp	NE
en	Pp	EN
a	Vuc	AVOIR
du	Dp	DU
bien	Rg	BIEN
qu'	Cs	QUE
à	S	À
force	Nc	FORCE|FORCÉ
d'	S	DE
en	Pp	EN
donner	Vvn	DONNER
:	Fw	:
On	Pp	ON
ne	Rp	NE
les	Pp	ILS
repaît	Vvc	REPAÎTRE
plus	Rg	PLUS
de	S	DE
tous	Di	TOUT
ces	Dd	CE
graves	Ag	GRAVE
termes	Nc	TERME
,	Fw	,
Qui	Vvc	Qui
rendaient	Vvc	RENDRE
leurs	Ds	LEUR
esprits	Nc	ESPRIT|ESPRITS
si	Rg	SI
justes	Ag	JUSTE
et	Cc	ET
si	Rg	SI
fermes	Ag	FERME
,	Fw	,
C'	Vvc	C'
est	Vuc	ÊTRE
en	S	EN
vain	Ag	VAIN
jour	Nc	JOUR
et	Cc	ET
nuit	Nc	NUIT
visiter	Vvn	VISITER
leurs	Ds	LEUR
maisons	Nc	MAISON
,	Fw	,
Ils	Vvc	Ils
savent	Vvc	SAVOIR
mieux	Rg	MIEUX
peser	Vvn	PESER
notre	Ds	NOTRE
or	Nc	OR
que	Cs	QUE
nos	Ds	NOTRE
raisons	Nc	RAISON
,	Fw	,
Atalante	Ga	Atalante
,	Fw	,
ma	Ds	MON
sœur	Nc	sœur
,	Fw	,
sait	Vvc	SAVOIR
par	S	PAR
expérience	Nc	EXPÉRIENCE
Qu'	Vvc	Qu'
ils	Pp	ILS
ont	Vuc	AVOIR
beaucoup	Rg	BEAUCOUP
de	S	DE
mains	Nc	MAIN
,	Fw	,
mais	Cc	MAIS
peu	Rg	PEU
de	S	DE
conscience	Nc	CONSCIENCE
,	Fw	,
Qu'	Vvc	Qu'
un	Dn	UN
écrit	Nc	ÉCRIT
sans	S	SANS
présent	Nc	PRÉSENT
sert	Vvc	SERVIR
à	S	À
les	Pp	ILS
irriter	Vvn	IRRITER
,	Fw	,
Qu'	Vvc	Qu'
il	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
perdre	Vvn	PERDRE
avec	S	AVEC
eux	Pp	EUX
afin	S	AFIN
d'	S	DE
y	Pp	Y
profiter	Vvn	PROFITER
,	Fw	,
Et	Vvc	Et
qu'	Cs	QUE
en	S	EN
tout	Di	TOUT
temps	Nc	TEMPS
ces	Dd	CE
gens	Nc	GENS|GENT
qui	Pr	QUI
causent	Vvc	CAUSER
notre	Ds	NOTRE
perte	Nc	PERTE
,	Fw	,
Comme	Vvc	Comme
les	Da	LE
médecins	Nc	MÉDECIN
tiennent	Vvc	TENIR
la	Da	LE
main	Nc	MAIN
ouverte	Ge	OUVRIR
.	Fs	.
»	Fw	»
Il	Vvc	Il
se	Pp	IL
faut	Vvc	FAILLIR|FALLOIR
consoler	Vvn	CONSOLER
,	Fw	,
et	Cc	ET
tâcher	Vvn	TÂCHER
désormais	Rg	DÉSORMAIS
De	Vvc	De
posséder	Vvn	POSSÉDER
du	S+Da	DE+LE
moins	Rg	MOINS
une	Dn	UN
éternelle	Ag	ÉTERNEL
paix	Nc	PAIX
Maintenant	Ga	MAINTENIR
notre	Ds	NOTRE
mal	Nc	MAL
peut	Vvc	POUVOIR
avoir	Vun	AVOIR
son	Ds	SON
remède	Nc	REMÈDE
,	Fw	,
Et	Vvc	Et
si	Cs	SI
nous	Pp	NOUS
le	Pp	IL
voulons	Vvc	VOULOIR
,	Fw	,
nous	Pp	NOUS
trouverons	Vvc	TROUVER
de	S	DE
l'	Da	LE
aide	Nc	AIDE
.	Fs	.
Nous	Pp	NOUS
n'	Rp	NE
avons	Vuc	AVOIR
point	Rg	POINT
perdu	Ge	PERDRE
l'	Da	LE
esprit	Nc	ESPRIT
ni	Cc	NI
la	Da	LE
beauté	Nc	BEAUTÉ
,	Fw	,
Il	Vvc	Il
s'	Cs	SI
en	Pp	EN
faudra	Vvc	FAILLIR|FALLOIR
servir	Vvn	SERVIR
dans	S	DANS
une	Dn	UN
extrémité	Nc	EXTRÉMITÉ
:	Fw	:
Un	Dn	UN
certain	Ag	CERTAIN
avocat	Nc	AVOCAT
,	Fw	,
comme	Cs	COMME
on	Pp	ON
m'	Pp	JE
a	Vuc	AVOIR
fait	Ge	FAIRE
accroire	Vvn	ACCROIRE
,	Fw	,
Veut	Vvc	VOULOIR
établir	Vvn	ÉTABLIR
chez	S	CHEZ
nous	Pp	NOUS
son	Ds	SON
repos	Nc	REPOS
et	Cc	ET
sa	Ds	SON
gloire	Nc	GLOIRE
,	Fw	,
Il	Vvc	Il
ne	Rp	NE
vous	Pp	VOUS
connaît	Vvc	CONNAÎTRE
point	Rg	POINT
;	Fw	;
un	Dn	UN
récit	Nc	RÉCIT
seulement	Rg	SEULEMENT
De	Vvc	De
votre	Ds	VOTRE
bonne	Ag	BON
humeur	Nc	HUMEUR
l'	Pp	IL
a	Vuc	AVOIR
rendu	Ge	RENDRE
votre	Ds	VOTRE
amant	Nc	AMANT
:	Fw	:
Il	Pp	IL
est	Vuc	ÊTRE
riche	Ag	RICHE
,	Fw	,
il	Pp	IL
est	Vuc	ÊTRE
jeune	Ag	JEUNE
,	Fw	,
et	Cc	ET
sa	Ds	SON
flamme	Nc	FLAMME
naissante	Ga	NAÎTRE
Toucherait	Vvc	TOUCHER
doucement	Rg	DOUCEMENT
votre	Ds	VOTRE
âme	Nc	ÂME
languissante	Ag	LANGUISSANT
.	Fs	.
Est	Vuc	ÊTRE
-ce	Vvc	-ce
,	Fw	,
ma	Ds	MON
chère	Ag	CHER
sœur	Nc	sœur
,	Fw	,
des	Dn	UN
jeunes	Ag	JEUNE
avocats	Nc	AVOCAT
Dont	Vvc	Dont
ton	Ds	TON
esprit	Nc	ESPRIT
se	Pp	IL
pique	Vvc	PIQUER
,	Fw	,
et	Cc	ET
dont	Pr	DONT
tu	Pp	TU
fais	Vvc	FAIRE
du	S+Da	DE+LE
cas	Nc	CAS
?	Fs	?
Qu'	Cs	QUE
on	Pp	ON
a	Vuc	AVOIR
troublé	Ge	TROUBLER
tes	Ds	TON
sens	Nc	SENS
!	Fs	!
Que	Cs	QUE
ta	Ds	TON
sottise	Nc	SOTTISE
est	Vuc	ÊTRE
grande	Ag	GRAND
!	Fs	!
Et	Cc	ET
qu'	Cs	QUE
à	S	À
Saint-Mathurin	Nc	Saint-Mathurin
tu	Pp	TU
dois	Vvc	DEVOIR
bien	Rg	BIEN
une	Dn	UN
offrande	Nc	OFFRANDE
!	Fs	!
Que	Cs	QUE
tu	Pp	TU
crois	Vvc	CROIRE|CROÎTRE
de	S	DE
léger	Ag	LÉGER
!	Fs	!
Que	Cs	QUE
tu	Pp	TU
conseilles	Vvc	CONSEILLER
mal	Rg	MAL
!	Fs	!
Et	Cc	ET
qu'	Cs	QUE
un	Dn	UN
jeune	Ag	JEUNE
avocat	Nc	AVOCAT
est	Vuc	ÊTRE
un	Dn	UN
sot	Nc	SOT
animal	Ag	ANIMAL
:	Fw	:
Depuis	S	DEPUIS
que	Cs	QUE
j'	Pp	JE
en	Pp	EN
vois	Vvc	ALLER|VOIR
tant	Rg	TANT
,	Fw	,
sache	Vvc	SAVOIR
que	Cs	QUE
je	Pp	JE
me	Pp	JE
pique	Vvc	PIQUER
D'	Rg	D'
entendre	Vvn	ENTENDRE
aussi	Rg	AUSSI
bien	Rg	BIEN
qu'	Cs	QUE
eux	Pp	EUX
les	Da	LE
termes	Nc	TERME
de	S	DE
Pratique	Nc	PRATIQUE
.	Fs	.
Ordonnances	Nc	ORDONNANCE
,	Fw	,
édits	Nc	ÉDIT
,	Fw	,
vérifications	Nc	VÉRIFICATION
,	Fw	,
Inventaires	Nc	INVENTAIRE
,	Fw	,
défauts	Nc	DÉFAUT
,	Fw	,
renvois	Nc	RENVOI
,	Fw	,
productions	Nc	PRODUCTION
,	Fw	,
Requête	Vvc	Requête
,	Fw	,
appointements	Nc	APPOINTEMENT
,	Fw	,
contredits	Nc	CONTREDIT
et	Cc	ET
sentences	Nc	SENTENCE
,	Fw	,
Appel	Nc	APPEL
,	Fw	,
désertions	Vvc	DÉSERTER
,	Fw	,
demandes	Nc	DEMANDE|DEMANDÉ
,	Fw	,
et	Cc	ET
défenses	Nc	DÉFENSE
,	Fw	,
Grâces	Nc	Grâces
,	Fw	,
remissions	Vvc	REMETTRE
,	Fw	,
inscriptions	Nc	INSCRIPTION
à	S	À
faux	Ag	FAUX
,	Fw	,
Arrêts	Vvc	Arrêts
,	Fw	,
transactions	Nc	TRANSACTION
,	Fw	,
griefs	Nc	GRIEF
,	Fw	,
lettres	Nc	LETTRE|LETTRÉ
Royaux	Vvc	Royaux
;	Fw	;
Bref	Nc	BREF
ils	Pp	ILS
s'	Pp	SE
estiment	Vvc	ESTIMER
bien	Rg	BIEN
quand	Cs	QUAND
des	Dn	UN
choses	Nc	CHOSE
pareilles	Ag	PAREIL
Pour	Nc	POUR
me	Pp	JE
rendre	Vvn	RENDRE
savante	Ag	SAVANT
ont	Vuc	AVOIR
choqué	Ge	CHOQUER
mes	Ds	MON
oreilles	Nc	OREILLE
,	Fw	,
Et	Vvc	Et
me	Pp	JE
viennent	Vvc	VENIR
conter	Vvn	CONTER
sans	S	SANS
aucune	Di	AUCUN
raison	Nc	RAISON
Qu'	Vvc	Qu'
ils	Pp	ILS
entendent	Vvc	ENTENDRE
Cujas	Vvc	Cujas
,	Fw	,
et	Cc	ET
Barthole	Vvc	Barthole
,	Fw	,
et	Cc	ET
Jason	Nc	Jason
.	Fs	.
Au	S+Da	À+LE
reste	Nc	RESTE
sans	S	SANS
sujet	Nc	SUJET
chacun	Pi	CHACUN
s'	Pp	SE
en	Pp	EN
fait	Vvc	FAIRE
accroire	Vvn	ACCROIRE
,	Fw	,
On	Vvc	On
ne	Rp	NE
les	Pp	ILS
peut	Vvc	POUVOIR
aimer	Vvn	AIMER
à	S	À
cause	Nc	CAUSE
de	S	DE
leur	Ds	LEUR
gloire	Nc	GLOIRE
:	Fw	:
Leur	Ds	LEUR
humeur	Nc	HUMEUR
est	Vuc	ÊTRE
plaisante	Ge	PLAISANTER
;	Fw	;
ils	Pp	ILS
font	Vvc	FAIRE
les	Da	LE
courtisans	Ga	COURTISER
;	Fw	;
Et	Vvc	Et
prends	Vvc	PRENDRE
garde	Nc	GARDE
,	Fw	,
ma	Ds	MON
sœur	Nc	sœur
,	Fw	,
qu'	Cs	QUE
ils	Pp	ILS
sont	Vuc	ÊTRE
tous	Di	TOUT
médisants	Nc	MÉDISANT
.	Fs	.
Pour	S	POUR
leur	Pp	LEUR
plaire	Vvn	PLAIRE
il	Pp	IL
faudrait	Vvc	FAILLIR|FALLOIR
prononcer	Vvn	PRONONCER
des	Dn	UN
oracles	Nc	ORACLE
,	Fw	,
Et	Vvc	Et
pour	S	POUR
les	Pp	ILS
contenter	Vvn	CONTENTER
faire	Vvn	FAIRE
quelques	Di	QUELQUE
miracles	Nc	MIRACLE
;	Fw	;
L'	Vvc	L'
une	Pi	UN
sera	Vuc	ÊTRE
passable	Ag	PASSABLE
,	Fw	,
et	Cc	ET
l'	Da	LE
autre	Pi	AUTRE
n'	Rp	NE
aura	Vuc	AVOIR
rien	Pi	RIEN
Qui	Vvc	Qui
puisse	Vvc	POUVOIR
mériter	Vvn	MÉRITER
le	Da	LE
plus	Rg	PLUS
simple	Ag	SIMPLE
entretien	Nc	ENTRETIEN
,	Fw	,
Ils	Vvc	Ils
prendraient	Vvc	PRENDRE
celle	Pd	CELUI
-ci	Vvc	-ci
,	Fw	,
mais	Cc	MAIS
c'	Pd	CE
est	Vuc	ÊTRE
un	Dn	UN
corps	Nc	CORPS
sans	S	SANS
âme	Nc	ÂME
,	Fw	,
L'	Vvc	L'
une	Pi	UN
aura	Vuc	AVOIR
trop	Rg	TROP
de	S	DE
glace	Nc	GLACE|GLACÉ
,	Fw	,
et	Cc	ET
l'	Da	LE
autre	Pi	AUTRE
trop	Rg	TROP
de	S	DE
flamme	Nc	FLAMME
,	Fw	,
Celle	Vvc	Celle
-ci	Pd	-ci
parle	Vvc	PARLER
trop	Rg	TROP
,	Fw	,
l'	Da	LE
autre	Pi	AUTRE
parle	Vvc	PARLER
trop	Rg	TROP
peu	Rg	PEU
,	Fw	,
Bref	Nc	BREF
rien	Pi	RIEN
n'	Rp	NE
est	Vuc	ÊTRE
suffisant	Ag	SUFFISANT
de	S	DE
leur	Pp	LEUR
donner	Vvn	DONNER
du	S+Da	DE+LE
feu	Nc	FEU
.	Fs	.
Ces	Dd	CE
petits	Ag	PETIT
avocats	Nc	AVOCAT
sont	Vuc	ÊTRE
d'	S	DE
une	Dn	UN
humeur	Nc	HUMEUR
étrange	Ag	ÉTRANGE
!	Fs	!
Il	Pp	IL
faudrait	Vvc	FAILLIR|FALLOIR
qu'	Cs	QUE
une	Dn	UN
fille	Nc	FILLE
eut	Vuc	AVOIR
la	Da	LE
beauté	Nc	BEAUTÉ
d'	S	DE
un	Dn	UN
ange	Nc	ANGE
,	Fw	,
Et	Vvc	Et
que	Cs	QUE
l'	Da	LE
esprit	Nc	ESPRIT
fut	Vuc	ÊTRE
tel	Ag	TEL
,	Fw	,
que	Cs	QUE
jamais	Rg	JAMAIS
un	Dn	UN
amant	Nc	AMANT
Ne	Vvc	Ne
l'	Pp	IL
ouït	Vvc	ouït
,	Fw	,
sans	S	SANS
entrer	Vvn	ENTRER
dans	S	DANS
un	Dn	UN
ravissement	Nc	RAVISSEMENT
,	Fw	,
Pour	Nc	POUR
moi	Pp	JE
.	Fs	.
N'	Rp	NE
en	Pp	EN
parlez	Vvc	PARLER
plus	Rg	PLUS
,	Fw	,
ma	Ds	MON
sœur	Nc	sœur
,	Fw	,
chère	Nc	CHÈRE
Atalante	Ga	Atalante
,	Fw	,
Je	Vvc	Je
puis	Vvc	POUVOIR
rendre	Vvn	RENDRE
aisément	Rg	AISÉMENT
vôtre	As#Ps	VÔTRE
âme	Nc	ÂME
plus	Rg	PLUS
contente	Ag	CONTENT
.	Fs	.
Si	Rg	SI
Polydas	Vvc	Polydas
vous	Pp	VOUS
aime	Vvc	AIMER
,	Fw	,
et	Cc	ET
qu'	Cs	QUE
on	Pp	ON
trouve	Vvc	TROUVER
aujourd'hui	Rg	AUJOURD'HUI
Un	Ag	Un
moyen	Nc	MOYEN
qui	Pr	QUI
soit	Vuc	ÊTRE
prompt	Ag	PROMPT
à	S	À
flatter	Vvn	FLATTER
votre	Ds	VOTRE
ennui	Nc	ENNUI
,	Fw	,
Sans	Vvc	Sans
doute	Nc	DOUTE
vous	Pp	VOUS
croirez	Vvc	CROIRE
que	Cs	QUE
je	Pp	JE
vous	Pp	VOUS
suis	Vuc	ÊTRE
fidèle	Ag	FIDÈLE
,	Fw	,
Puis	Vvc	POUVOIR
que	Cs	QUE
votre	Ds	VOTRE
fortune	Nc	FORTUNE
en	Pp	EN
doit	Vvc	DEVOIR
être	Vun	ÊTRE
plus	Rg	PLUS
belle	Ag	BEAU
.	Fs	.
Ah	I	AH
!	Fs	!
Ne	Rp	NE
me	Pp	JE
réduis	Vvc	RÉDUIRE
point	Rg	POINT
à	S	À
tant	Rg	TANT
d'	S	DE
extremités	Nc	EXTRÉMITÉ
,	Fw	,
Le	Vvc	Le
plus	Rg	PLUS
juste	Ag	JUSTE
avocat	Nc	AVOCAT
prend	Vvc	PRENDRE
de	S	DE
tous	Di	TOUT
les	Da	LE
côtés	Nc	CÔTÉ
.	Fs	.
Non	Rg	NON
,	Fw	,
non	Rg	NON
,	Fw	,
je	Pp	JE
n'	Rp	NE
en	Pp	EN
veux	Vvc	VOULOIR
point	Rg	POINT
.	Fs	.
Je	Pp	JE
plains	Vvc	PLAINDRE
votre	Ds	VOTRE
sottise	Nc	SOTTISE
,	Fw	,
Ils	Vvc	Ils
prennent	Vvc	PRENDRE
quelquefois	Rg	QUELQUEFOIS
,	Fw	,
mais	Cc	MAIS
on	Pp	ON
les	Pp	ILS
autorise	Vvc	AUTORISER
:	Fw	:
Ils	Pp	ILS
demandent	Vvc	DEMANDER
en	S	EN
droit	Nc	DROIT
;	Fw	;
