	idno	fievre_idno	author-name	year	subgenre	comedie	tragedie	tragicomedie	form	tc_inspiration	tc_structure	count
tc0185	tc0185	CORNEILLEP_ILLUSIONCOMIQUE	CORNEILLEP	1636	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0186	tc0186	CORNEILLEP_MEDEE	CORNEILLEP	1634	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0188	tc0188	CORNEILLEP_MELITE	CORNEILLEP	1630	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0189	tc0189	CORNEILLEP_MENTEUR	CORNEILLEP	1644	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0190	tc0190	CORNEILLEP_MORTPOMPEE	CORNEILLEP	1643	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0191	tc0191	CORNEILLEP_NICOMEDE	CORNEILLEP	1651	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0192	tc0192	CORNEILLEP_OEDIPE	CORNEILLEP	1659	tragedie	other	tragedie	other	vers	mythe grec	Cinq actes	1
tc0193	tc0193	CORNEILLEP_OTHON	CORNEILLEP	1665	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0194	tc0194	CORNEILLEP_PERTHARITE	CORNEILLEP	1653	tragedie	other	tragedie	other	vers	histoire médiévale	Cinq actes	1
tc0195	tc0195	CORNEILLEP_PLACEROYALE	CORNEILLEP	1634	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0196	tc0196	CORNEILLEP_POLYEUCTE	CORNEILLEP	1643	tragedie	other	tragedie	other	vers	histoire chrétienne	Cinq actes	1
tc0198	tc0198	CORNEILLEP_RODOGUNE	CORNEILLEP	1647	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0199	tc0199	CORNEILLEP_SERTORIUS	CORNEILLEP	1662	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0200	tc0200	CORNEILLEP_SOPHONISBE	CORNEILLEP	1663	tragedie	other	tragedie	other	vers	histoire romaine	Cinq actes	1
tc0201	tc0201	CORNEILLEP_SUITEMENTEUR	CORNEILLEP	1645	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0202	tc0202	CORNEILLEP_SUIVANTE	CORNEILLEP	1634	comedie	comedie	other	other	vers	moeurs françaises	Cinq actes	1
tc0203	tc0203	CORNEILLEP_SURENA	CORNEILLEP	1674	tragedie	other	tragedie	other	vers	histoire orientale	Cinq actes	1
tc0204	tc0204	CORNEILLEP_THEODORE	CORNEILLEP	1645	tragedie	other	tragedie	other	vers	histoire chrétienne	Cinq actes	1
