Enfin	Rg	ENFIN
apprenant	Ga	APPRENDRE
ma	Ds	MON
défaite	Nc	DÉFAITE
,	Fw	,
Pour	Nc	POUR
arracher	Vvn	ARRACHER
son	Ds	SON
prince	Nc	PRINCE
à	S	À
d'	Dn	UN
odieuses	Ag	ODIEUX
mains	Nc	MAIN
,	Fw	,
De	Vvc	De
soldats	Nc	SOLDAT
aguerris	Vvc	AGUERRIR
couvrir	Vvn	COUVRIR
les	Da	LE
champs	Nc	CHAMP|CHAMPS
romains	Ag	ROMAIN
.	Fs	.
Tu	Pp	TU
sais	Vvc	SAVOIR
bien	Rg	BIEN
que	Cs	QUE
Sapor	Nc	Sapor
,	Fw	,
digne	Ag	DIGNE
sang	Nc	SANG
d'	S	DE
Artaxerce	Nc	Artaxerce
,	Fw	,
Est	Vvc	Est
second	Nc	SECOND
fils	Nc	FIL|FILS
du	S+Da	DE+LE
roi	Nc	ROI
qui	Pr	QUI
règne	Vvc	RÉGNER
dans	S	DANS
la	Da	LE
Perse	Nc	PERSE
;	Fw	;
Que	Vvc	Que
son	Ds	SON
père	Nc	PÈRE
voulut	Vvc	VOULOIR
,	Fw	,
pour	S	POUR
cimenter	Vvn	CIMENTER
la	Da	LE
paix	Nc	PAIX
,	Fw	,
Avec	Vvc	Avec
les	Da	LE
nouds	Nc	nouds
du	S+Da	DE+LE
sang	Nc	SANG
nous	Pp	NOUS
unir	Vvn	UNIR
à	S	À
jamais	Rg	JAMAIS
,	Fw	,
Afin	Nc	Afin
que	Pr	QUE
,	Fw	,
plus	Rg	PLUS
à	S	À
craindre	Vvn	CRAINDRE
en	S	EN
rassemblant	Ga	RASSEMBLER
nos	Ds	NOTRE
haines	Nc	HAINE
,	Fw	,
Nous	Vvc	Nous
n'	Rp	NE
eussions	Vuc	AVOIR
d'	S	DE
ennemis	Nc	ENNEMI
que	Cs	QUE
les	Da	LE
aigles	Nc	AIGLE
romaines	Ag	ROMAIN
.	Fs	.
Il	Pp	IL
proposa	Vvc	PROPOSER
d'	S	DE
unir	Vvn	UNIR
ma	Ds	MON
fille	Nc	FILLE
avec	S	AVEC
son	Ds	SON
fils	Nc	FIL|FILS
:	Fw	:
Ma	Ds	MON
gloire	Nc	GLOIRE
le	Pp	IL
voulait	Vvc	VOULOIR
,	Fw	,
l'	Da	LE
État	Nc	État
y	Pp	Y
consentit	Vvc	CONSENTIR
;	Fw	;
Et	Vvc	Et
,	Fw	,
destinant	Ga	DESTINER
dès	S	DÈS
lors	Rg	LORS
un	Dn	UN
héritier	Nc	HÉRITIER
au	S+Da	À+LE
trône	Nc	TRÔNE
,	Fw	,
Je	Vvc	Je
promis	Ge	PROMETTRE
à	S	À
Sapor	Nc	Sapor
ma	Ds	MON
fille	Nc	FILLE
et	Cc	ET
ma	Ds	MON
couronne	Nc	COURONNE
:	Fw	:
Je	Pp	JE
l'	Pp	IL
adoptai	Vvc	ADOPTER
pour	S	POUR
fils	Nc	FIL|FILS
;	Fw	;
et	Cc	ET
le	Da	LE
roi	Nc	ROI
,	Fw	,
dès	S	DÈS
ce	Dd	CE
jour	Nc	JOUR
,	Fw	,
Envoya	Vvc	ENVOYER
,	Fw	,
jeune	Ag	JEUNE
encor	Nc	encor
,	Fw	,
ce	Dd	CE
prince	Nc	PRINCE
dans	S	DANS
ma	Ds	MON
cour	Nc	COUR
.	Fs	.
Nourri	Ge	NOURRIR
depuis	S	DEPUIS
ce	Dd	CE
temps	Nc	TEMPS
dans	S	DANS
le	Da	LE
métier	Nc	MÉTIER
des	S+Da	DE+LE|DE+LES
armes	Nc	ARME|ARMÉ
,	Fw	,
Il	Vvc	Il
voit	Vvc	VOIR
à	S	À
tout	Di	TOUT
moment	Nc	MOMENT
croître	Vvn	CROÎTRE
Ismène	Vvc	Ismène
et	Cc	ET
ses	Ds	SON
charmes	Nc	CHARME
;	Fw	;
Et	Vvc	Et
ce	Dd	CE
jeune	Ag	JEUNE
guerrier	Nc	GUERRIER
,	Fw	,
charmé	Ge	CHARMER
de	S	DE
ses	Ds	SON
appas	Nc	APPAS
,	Fw	,
A	Vvc	A
fait	Ge	FAIRE
naître	Vvn	NAÎTRE
l'	Da	LE
amour	Nc	AMOUR
au	S+Da	À+LE
milieu	Nc	MILIEU
des	S+Da	DE+LE|DE+LES
combats	Nc	COMBAT
.	Fs	.
Je	Pp	JE
vis	Vvc	VIVRE|VOIR
avec	S	AVEC
plaisir	Nc	PLAISIR
cette	Dd	CE
naissante	Ag	NAISSANT
flamme	Nc	FLAMME
,	Fw	,
Qui	Vvc	Qui
,	Fw	,
confirmant	Ga	CONFIRMER
mon	Ds	MON
choix	Nc	CHOIX
,	Fw	,
s'	Pp	SE
emparait	Vvc	EMPARER
de	S	DE
leur	Ds	LEUR
âme	Nc	ÂME
;	Fw	;
Et	Vvc	Et
